"56+68352";"AUTO MSZ 132 LAMBORGHINI AVENTADOR LP";0.00;24.00;5970.6800;10500.0000;0.00;"4897071920599";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3031";"CAMINADOR VERDE APRENDER A CAMINAR";1.00;24.00;50104.7300;83600.0000;1.00;"7797161030313";"";"";0.00;1.00;1.00;1.00;1.00;2.00;1.00;1.00;0.00
"05+2500";"ACTIVITY GYM";0.00;24.00;8726.1400;15300.0000;0.00;"7797161025005";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3076";"TRICICLO PRIMERA INFANCIA CON BARRAL";0.00;24.00;61365.0800;102300.0000;0.00;"7797161030764";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3065";"TRICICLO RONDI CITY";0.00;24.00;70514.1200;117600.0000;0.00;"7797161030658";"";" 16-01-04";0.00;2.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
"05+3066";"TRICICLO GLAM FASHION GIRL CON CANASTA";0.00;24.00;70514.1200;117600.0000;0.00;"7797161030665";"";" 12-02-04";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
"05+3083";"COCINA KITCHEN - CON ACCESORIOS";0.00;24.00;92155.1200;153600.0000;0.00;"7797161030832";"";"";0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00
"05+3082";"COCINA RONDI COOKIE-CON 22 ACCESORIOS";0.00;24.00;72977.3300;121700.0000;0.00;"7797161030825";"";"11-05-04 16-0";0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
"05+3112";"SUPERMERCADO CON VERDURAS Y FRUTAS";0.00;24.00;80154.2200;130300.0000;0.00;"7797161031129";"7797161031129";"";0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3127";"COCHE LITTLE BABY";0.00;24.00;40427.8400;67400.0000;0.00;"7797161031273";"7797161031273";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00
"05+3119";"ESTACION TRAFFIC GARAGE CON 2 M DE PISTA";0.00;24.00;8555.7100;15000.0000;0.00;"7797161031198";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3124";"METEGOL CLASICO CON CAMISETAS";0.00;24.00;188020.9300;313400.0000;0.00;"7797161031242";"";" 16-03-04";0.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00
"05+3078";"METEGOL JUNIOR";0.00;24.00;106230.5600;177100.0000;0.00;"7797161030788";"";"11-07-04 16-0";0.00;1.00;1.00;0.00;0.00;0.00;0.00;3.00;1.00
"05+3115";"CAMION TRANSPORTE C/ 2 AUTOS C/CAJA";0.00;24.00;42891.0500;71500.0000;0.00;"7797161031150";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3084";"CAMION VOLCADOR  -";0.00;24.00;34093.9000;56900.0000;0.00;"7797161030849";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3085";"CAMION PALA CON CAJA - RONDI";0.00;24.00;42891.0500;71500.0000;0.00;"7797161030856";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3116";"WORK MASTER-BANCO DE TRABAJO 55 ACCESORIOS - RONDI";0.00;24.00;61892.9000;103200.0000;0.00;"7797161031167";"7797161031167";"";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
"05+3101";"WORK CENTER - BANCO DE TRABAJO CON ACCESORIOS";0.00;24.00;53447.6400;89100.0000;0.00;"7797161031013";"";"";0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00
"05+3600";"BASQUET DE PIE CON PELOTA DE GOMA 94 CM DE ALTO";0.00;24.00;38140.6000;63600.0000;0.00;"7797161036001";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+2080";"BINGO C/BOLILLERO - RONDI";0.00;24.00;35149.5500;58600.0000;0.00;"7797161020802";"";"";0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;0.00
"05+3097";"WAGON C/ ACCESORIOS - PALA Y RASTRILLO";0.00;24.00;33390.1200;54300.0000;0.00;"7797161030979";"7797161030979";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3125";"MESA PIC NIC - EXTERIOR";0.00;24.00;112564.5100;187700.0000;0.00;"7797161031259";"";"";0.00;1.00;1.00;0.00;1.00;2.00;2.00;3.00;0.00
"05+3000";"TRICICLO JUNIOR RIDER";0.00;24.00;52743.8600;88000.0000;0.00;"7797161030009";"7797161030009";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
